#ID	IMAGE	X-Y-Z	NAME
124	124	1x1x1	Bones
125	125	3x1x3	Dragon Bones
126	126	1x1x1	Chains
127	127	1x1x1	Dragonlord’s Standard
128	128	2x1x2	Vile Tile
129	129	1x1x1	Seal of Erdrick
130	130	1x1x1	Draconic Column
131	131	2x2x1	Vile Visage
132	132	2x3x2	Evil Idol
133	133	1x1x1	Beastly Burrow
134	134	2x1x2	Helliportal
135	135	1x1x1	Spike Trap
136	0	1x1x1	Wall-Mounted Banner [Black]
137	137	1x1x1	Pristine Plumberry
138	0	1x1x1	Wall-Mounted Banner [Purple]
139	0	1x1x1	Wall-Mounted Banner [Pink]
140	0	1x1x1	Wall-Mounted Banner [Red]
141	0	1x1x1	Wall-Mounted Banner [Green]
142	0	1x1x1	Wall-Mounted Banner [Yellow]
143	143	1x1x1	Fierce Fountain
144	0	1x1x1	Wall-Mounted Banner [Blue]
145	145	2x1x2	Tree Stump
146	146	1x1x1	Slime Balloons
147	147	1x1x1	Stone Workbench LV0
148	148	1x1x1	Wooden Workbench LV0
149	149	3x2x3	(Multipurpose Workbench)
150	150	1x1x1	Colour Wheel
151	151	3x2x3	Forge
152	152	1x1x1	Hela’s Hammer Sign
153	153	1x1x1	Brick Barbecue
154	154	1x1x1	Stickler’s Sifter
155	155	1x1x1	Sewing Station
156	0	1x1x1	Wooden Fortification [White]
157	157	3x2x3	Metalist Workbench
158	158	2x1x2	Welder’s Workbench
159	159	1x1x1	¿Dead Plant
160	160	1x1x1	¿Dead Plant on Pole
161	161	1x2x1	Furnace
162	162	1x1x1	Old Book
163	163	1x1x1	Old Note
164	164	1x2x3	¿Buggy Buggy
165	165	1x1x1	Cantlin Shield
166	166	1x1x1	Holyhock Seedling
167	0	1x1x1	Wooden Fortification [Black]
168	168	1x1x1	¿Infernal Ivy
169	169	2x2x2	Cannon
170	170	1x1x1	Piston
171	171	1x1x1	¿Pressure Plate
172	172	1x1x1	¿Button
173	173	2x1x2	Ballista
174	174	1x1x1	Magic Cannon
175	175	1x1x1	Roof Tiling
176	176	1x1x1	Pitched Tiling
177	177	1x1x1	Outer Corner Tiling
178	178	1x1x1	Inner Corner Tiling
179	179	1x1x1	Colossal Coffer
180	180	2x2x2	Armoire
181	181	1x1x1	¿Armoire
182	182	1x1x1	Equipment Display Stand
183	183	1x1x1	Straight Track
184	184	1x1x1	Curved Track
185	185	1x1x1	Sloped Track
186	186	1x1x1	Stop Sign
187	187	1x1x1	Wooden Minecart
188	188	1x1x1	Spiked Metal Minecart
189	0	1x1x1	Criss-Cross Leadlight [White]
190	0	1x1x1	Criss-Cross Leadlight [Black]
191	0	1x1x1	Criss-Cross Leadlight [Purple]
192	0	1x1x1	Criss-Cross Leadlight [Pink]
193	0	1x1x1	Criss-Cross Leadlight [Red]
194	0	1x1x1	Criss-Cross Leadlight [Green]
195	0	1x1x1	Criss-Cross Leadlight [Yellow]
196	0	1x1x1	Criss-Cross Leadlight [Blue]
197	197	1x1x1	Wrecking Ball
198	198	1x1x1	Portrait of a Lady
199	199	1x1x1	Fountain
200	200	1x1x1	¿Water block
201	201	1x1x1	¿Ht Water block
202	0	1x1x1	Wooden Fortification [Purple]
203	0	1x1x1	Wooden Fortification [Pink]
204	0	1x1x1	Wooden Fortification [Red]
205	205	1x1x1	¿Yellow banner
206	206	2x1x1	Straw Door
207	207	1x1x1	Wooden Steps
208	208	1x1x1	Chimney
209	209	1x1x1	Stone Stool
210	0	1x1x1	0
211	211	1x1x1	Window
212	0	1x1x1	Wooden Fortification [Yellow]
213	0	1x1x1	Wooden Fortification [Blue]
214	214	1x1x1	Filter Fountain
215	215	1x1x1	¿Locked Chest
216	216	4x1x4	¿Teleportal
217	217	1x1x1	¿Terra Incognita
218	218	1x1x1	¿Terra Incognita
219	219	1x1x1	¿Minimedal Stand
220	220	1x1x1	Tiled Window
221	221	1x1x1	Branch
222	222	1x1x1	Mini Merlon
223	0	1x1x1	Emblematic Clock [White]
224	224	1x1x1	Gentleman Sign
225	225	1x1x1	Lady Sign
226	226	1x1x1	Bench
227	227	4x1x1	Bar Counter
228	228	1x1x1	Chic Chair
229	229	1x1x1	Cask
230	230	1x1x1	Naughty Night Light
231	231	3x2x2	Comfy Sofa
232	232	2x1x3	Princess-Sized Bed
233	233	1x1x3	Extravagant Table
234	234	3x1x3	Round Table
235	235	3x2x1	Fireplace
236	236	1x1x1	Plant Pot
237	237	1x1x1	Player Lyre
238	238	1x1x1	Dumb-Bells
239	239	1x1x1	Stationery
240	240	1x1x1	Water Jug
241	241	1x1x1	Tea Service
242	242	1x1x1	Salad Plate
243	243	1x1x1	Fish Dish
244	244	1x1x1	Bread Basket
245	245	1x1x1	Meat Feast
246	246	1x1x1	Treasures ‘n’ Trapdoors
247	247	1x1x1	Stuffed Hammerhood
248	248	3x1x3	Powie Yowie Rug
249	249	1x6x1	Cherry Blossom Tree
250	250	1x1x1	Healix The Hero
251	0	1x1x1	(Lock)
252	0	1x1x1	¿Tattered Banner of Erdrick
253	253	1x1x1	Blighted Branch
254	254	1x1x1	Dragonlord’s Throne
255	255	1x1x1	Four-Square Leadlight [White]
256	0	1x1x1	Four-Square Leadlight [Black]
257	0	1x1x1	Four-Square Leadlight [Purple]
258	0	1x1x1	Four-Square Leadlight [Pink]
259	0	1x1x1	Four-Square Leadlight [Red]
260	0	1x1x1	Four-Square Leadlight [Green]
261	0	1x1x1	Four-Square Leadlight [Yellow]
262	0	1x1x1	Four-Square Leadlight [Blue]
263	0	1x1x1	Plain-Plane Leadlight [White]
264	0	1x1x1	Plain-Plane Leadlight [Black]
265	0	1x1x1	Anvil
266	0	1x1x1	¿Water block
267	0	1x1x1	Plain-Plane Leadlight [Purple]
268	0	1x1x1	Plain-Plane Leadlight [Pink]
269	0	1x1x1	Plain-Plane Leadlight [Red]
270	0	1x1x1	Plain-Plane Leadlight [Green]
271	0	1x1x1	Plain-Plane Leadlight [Yellow]
272	0	1x1x1	Plain-Plane Leadlight [Blue]
273	0	1x1x1	Classy Couch [White]
274	0	1x1x1	Classy Couch [Black]
275	0	3x2x1	Classy Couch [Purple]
276	0	3x2x1	Classy Couch [Pink]
277	0	3x2x2	Classy Couch [Red]
278	0	3x2x2	Classy Couch [Green]
279	0	3x2x2	Classy Couch [Yellow]
280	0	3x2x2	Classy Couch [Blue]
281	0	1x1x1	Tartan Bed [White]
282	0	1x1x1	Tartan Bed [Black]
283	0	1x1x1	Tartan Bed [Purple]
284	0	1x1x1	Tartan Bed [Pink]
285	0	1x1x1	Tartan Bed [Red]
286	0	1x1x1	Tartan Bed [Green]
287	0	1x1x1	Tartan Bed [Yellow]
288	0	1x1x1	Tartan Bed [Blue]
289	0	1x1x1	Cooking Pot [White]
290	0	1x1x1	Cooking Pot [Black]
291	0	1x1x1	Cooking Pot [Purple]
292	0	1x1x1	Cooking Pot [Pink]
293	0	1x1x1	Cooking Pot [Red]
294	0	1x1x1	Cooking Pot [Green]
295	0	1x1x1	Cooking Pot [Yellow]
296	0	1x1x1	Cooking Pot [Blue]
297	0	1x1x1	¿TextTablet
298	0	1x1x1	¿TextTablet
299	0	1x1x1	¿TextTablet
300	0	1x1x1	¿TextTablet
301	0	1x1x1	¿TextTablet
302	0	1x1x1	¿TextTablet
303	0	1x1x1	¿TextTablet
304	0	1x1x1	Old Note
305	0	1x1x1	¿TextTablet
306	0	1x1x1	¿TextTablet
307	0	1x1x1	¿TextTablet
308	0	1x1x1	¿TextTablet
309	0	1x1x1	¿TextTablet
310	0	1x1x1	¿TextTablet
311	0	1x1x1	Gravestone
312	0	1x1x1	Grandfather Clock
313	0	1x1x1	¿TextTablet
314	0	1x1x1	¿TextTablet
315	0	1x1x1	Old Note
316	316	1x1x1	Malroth’s Oaken Club
317	0	1x1x1	¿TextTablet
318	0	1x1x1	¿TextTablet
319	0	1x1x1	¿TextTablet
320	0	1x1x1	¿TextTablet
321	0	1x1x1	¿TextTablet
322	0	1x1x1	¿TextTablet
323	0	1x1x1	¿TextTablet
324	0	1x1x1	¿TextTablet
325	0	1x1x1	¿TextTablet
326	0	1x1x1	¿TextTablet
327	0	1x1x1	Emblematic Clock [Black]
328	328	1x1x1	Scallywinkle
329	0	1x1x1	Emblematic Clock [Purple]
330	330	1x1x1	Driftlumber
331	331	1x1x1	Driftwood
332	332	1x1x1	Seaside Seaweed
333	0	1x1x1	Emblematic Clock [Pink]
334	334	1x1x1	Broken Barrel
335	335	1x1x1	Starfish
336	336	1x1x1	Seaslime Shell
337	0	1x1x1	Emblematic Clock [Red]
338	0	1x1x1	Emblematic Clock [Green]
339	0	1x1x1	Emblematic Clock [Yellow]
340	340	1x1x1	Pebble Pile
341	341	1x1x1	Toppled Column
342	342	1x1x1	Dry Ivy
343	343	1x1x1	Emblematic Clock [Blue]
344	0	1x1x1	Pampas Grass
345	0	1x1x1	Port and Shot Set [White]
346	0	1x1x1	Port and Shot Set [Black]
347	0	1x1x1	Port and Shot Set [Purple]
348	348	1x1x1	Broken Masonry
349	349	1x1x1	Classical Column Midsection
350	350	1x1x1	Classical Column Pedestal
351	351	3x3x3	Colossal Crag
352	352	2x2x1	Crag
353	0	1x1x1	Glass Floor [White]
354	0	1x1x1	Glass Floor [Black]
355	0	1x1x1	Glass Floor [Purple]
356	0	1x1x1	Glass Floor [Pink]
357	0	1x1x1	Glass Floor [Red]
358	0	1x1x1	Glass Floor [Green]
359	0	1x1x1	Glass Floor [Yellow]
360	0	1x1x1	Glass Floor [Blue]
361	0	1x1x1	Port and Shot Set [Pink]
362	0	1x1x1	Port and Shot Set [Red]
363	0	1x1x1	Port and Shot Set [Green]
364	364	1x1x1	Water Lily Flower
365	365	1x1x1	Lily Pad
366	0	1x1x1	Port and Shot Set [Yellow]
367	0	1x1x1	Port and Shot Set [Blue]
368	368	1x1x1	She-Slimespawn
369	0	1x1x1	Dressing Table [White]
370	0	1x1x1	Dressing Table [Black]
371	0	1x1x1	Chic Sunbrella [Pink]
372	0	1x1x1	Chic Sunbrella [Red]
373	0	1x1x1	Chic Sunbrella [Green]
374	0	1x1x1	Chic Sunbrella [Yellow]
375	0	1x1x1	Chic Sunbrella [Blue]
376	0	1x1x1	¿Deitree
377	0	1x1x1	¿Deitree
378	0	1x1x1	¿Deitree blue
379	0	1x1x1	¿Deitree Dead
380	0	1x1x1	¿Deitree smol
381	0	1x1x1	¿Deitree
382	0	1x1x1	0
383	383	1x1x1	Planting Pole
384	0	1x1x1	Dressing Table [Purple]
385	0	1x1x1	Dressing Table [Pink]
386	386	1x1x1	Worm Food
387	0	1x1x1	¿Wheat 0
388	0	1x1x1	¿Wheat 1
389	0	1x1x1	¿Wheat 2
390	390	1x1x1	Wheat
391	0	1x1x1	¿Butterbeans 0
392	0	1x1x1	¿Butterbeans 1
393	0	1x1x1	¿Butterbeans 2
394	394	1x1x1	Butterbeans
395	0	1x1x1	¿Cabbage 0
396	0	1x1x1	¿Cabbage 1
397	0	1x1x1	¿Cabbage 2
398	398	1x1x1	Cabbage
399	399	1x1x1	Red Cabbage
400	0	1x1x1	¿Buckwheat 0
401	0	1x1x1	¿Buckwheat 1
402	0	1x1x1	¿Buckwheat 2
403	403	1x1x1	Buckwheat
404	0	1x1x1	¿Sweetcorn 0
405	0	1x2x1	¿Sweetcorn 1
406	0	1x1x1	¿Sweetcorn 2
407	407	1x1x1	Sweetcorn
408	0	1x1x1	¿Chilli Pepper 0
409	0	1x1x1	¿Chilli Pepper 1
410	0	1x1x1	¿Chilli Pepper 2
411	411	1x2x1	Chilli Pepper
412	412	1x2x1	Red-Hot Chilli Pepper
413	0	1x1x1	¿Sugar Cane 0
414	0	1x1x1	¿Sugar Cane 1
415	0	1x1x1	¿Sugar Cane 2
416	416	1x1x1	Sugar Cane
417	0	1x1x1	¿Strawberry 0
418	0	1x1x1	¿Strawberry 1
419	0	1x1x1	¿Strawberry 2
420	420	1x1x1	Strawberry
421	421	1x1x1	Moreberry
422	0	1x1x1	¿Coffee Beans 0
423	0	1x1x1	¿Coffee Beans 1
424	0	1x1x1	¿Coffee Beans 2
425	425	1x1x1	Coffee Beans
426	0	1x1x1	¿Leek 0
427	0	1x1x1	¿Leek 1
428	0	1x1x1	Dressing Table [Red]
429	429	1x1x1	Leek
430	0	1x1x1	¿Potato 0
431	0	1x1x1	¿Potato 1
432	0	1x1x1	¿Potato 2
433	433	1x1x1	Potato
434	0	1x1x1	¿Pumpkin 0
435	0	1x1x1	¿Pumpkin 1
436	0	1x1x1	¿Pumpkin 2
437	437	1x1x1	Pumpkin
438	438	1x1x1	Plumpkin
439	0	1x1x1	¿Tomato 0
440	0	1x1x1	¿Tomato 1
441	0	1x1x1	¿Tomato 2
442	442	1x2x1	Tomato
443	443	1x1x1	Killer Tomato
444	0	1x1x1	¿Aubergette 0
445	0	1x1x1	¿Aubergette 1
446	0	1x1x1	¿Aubergette 2
447	447	1x1x1	Aubergette
448	0	1x1x1	Dressing Table [Green]
449	0	1x1x1	Dressing Table [Yellow]
450	0	1x1x1	Dressing Table [Blue]
451	0	1x1x1	Towel Rail [White]
452	0	1x1x1	¿Melon 0
453	0	1x1x1	¿Melon 1
454	0	1x1x1	¿Melon 2
455	455	1x1x1	Melon
456	456	1x1x1	Sunny-Hued Melon
457	0	1x1x1	¿Rice 0
458	0	1x1x1	¿Rice 1
459	0	1x1x1	¿Rice 2
460	460	1x1x1	Rice
461	0	1x1x1	¿Heartroot 0
462	0	1x1x1	¿Heartroot 1
463	0	1x1x1	¿Heartroot 2
464	464	1x1x1	Heartroot
465	465	1x1x1	White-Hot Heartroot
466	0	1x1x1	¿Dead Plant
467	0	1x1x1	Basic Bunk [White]
468	0	1x1x1	Basic Bunk [Black]
469	0	1x1x1	Basic Bunk [Purple]
470	0	1x1x1	Basic Bunk [Pink]
471	0	1x1x2	Basic Bunk [Red]
472	0	1x1x2	Basic Bunk [Green]
473	0	1x1x2	Basic Bunk [Yellow]
474	0	1x1x2	Basic Bunk [Blue]
475	0	1x1x1	Gift-Wrapped Gift [White]
476	0	1x1x1	Gift-Wrapped Gift [Black]
477	0	1x1x1	Gift-Wrapped Gift [Purple]
478	0	1x1x1	Gift-Wrapped Gift [Pink]
479	0	1x1x1	Gift-Wrapped Gift [Red]
480	0	1x1x1	Gift-Wrapped Gift [Green]
481	0	1x1x1	Gift-Wrapped Gift [Yellow]
482	0	1x1x1	Gift-Wrapped Gift [Blue]
483	0	1x1x1	Wooden Pillar [White]
484	0	1x1x1	Wooden Pillar [Black]
485	0	1x1x1	Wooden Pillar [Purple]
486	0	1x1x1	Wooden Pillar [Pink]
487	0	1x1x1	Wooden Pillar [Red]
488	0	1x1x1	Wooden Pillar [Green]
489	0	1x1x1	Wooden Pillar [Yellow]
490	0	1x1x1	Wooden Pillar [Blue]
491	0	1x1x1	Sliding Glass Door [White]
492	0	1x1x1	Sliding Glass Door [Black]
493	0	1x1x1	Sliding Glass Door [Purple]
494	0	1x1x1	Sliding Glass Door [Pink]
495	495	1x1x1	Banana
496	0	1x2x1	Sliding Glass Door [Red]
497	0	1x2x1	Sliding Glass Door [Green]
498	0	1x2x1	Sliding Glass Door [Yellow]
499	0	1x2x1	Sliding Glass Door [Blue]
500	0	1x1x1	Angled Window [White]
501	501	1x1x1	Pet Bowl
502	502	1x1x1	Pet Bedding
503	0	1x1x1	Angled Window [Black]
504	0	1x1x1	Angled Window [Purple]
505	0	1x1x1	Angled Window [Pink]
506	0	1x1x1	Angled Window [Red]
507	0	1x1x1	Angled Window [Green]
508	0	1x1x1	Angled Window [Yellow]
509	0	1x1x1	Angled Window [Blue]
510	0	1x1x1	Rigid Rope [White]
511	0	1x1x1	Rigid Rope [Black]
512	0	1x1x1	Rigid Rope [Purple]
513	0	1x1x1	¿Deitree Dead
514	0	1x1x1	Rigid Rope [Pink]
515	0	1x1x1	Rigid Rope [Red]
516	0	1x1x1	Rigid Rope [Green]
517	0	1x1x1	Rigid Rope [Yellow]
518	0	1x1x1	Rigid Rope [Blue]
519	0	1x1x1	¿Boat
520	520	1x1x1	¿Planter 0
521	521	1x1x1	¿Planter 1
522	522	1x1x1	¿Pencil
523	523	1x1x1	¿seed
524	524	1x1x1	¿seed
525	525	1x1x1	Unidentified Dung
526	526	2x1x2	¿Worn-Out Workbench
527	0	1x1x1	Big Plumberry Tree
528	0	1x1x1	¿Coneconut Tree
529	0	1x1x1	Towel Rail [Black]
530	0	1x1x1	Towel Rail [Purple]
531	0	1x1x1	Towel Rail [Pink]
532	532	1x1x1	Straw Bedding
533	0	1x1x1	Towel Rail [Red]
534	0	1x1x1	Towel Rail [Green]
535	0	1x1x1	Towel Rail [Yellow]
536	0	1x1x1	Towel Rail [Blue]
537	0	1x1x1	¿Wooden Workbench
538	0	1x1x1	¿Wooden Workbench
539	0	2x2x2	¿Wooden Workbench
540	540	2x1x2	Carpenter’s Workstation
541	0	1x1x1	¿seed
542	0	1x1x1	¿seed
543	0	1x1x1	¿Deitree
544	0	1x1x1	Bookcase [White]
545	545	2x4x1	¿Builder’s Bell
546	0	1x1x1	¿Builder’s Bell
547	0	1x1x1	¿Builder’s Bell
548	0	2x4x1	¿Builder’s Bell
549	0	2x4x1	¿Builder’s Bell
550	0	1x1x1	Bookcase [Black]
551	0	1x1x1	Bookcase [Purple]
552	552	1x1x1	Glass Floor
553	553	1x1x1	Glass Door
554	0	1x8x1	Big Cedar Tree
555	555	1x8x1	Big Palm Tree
556	0	1x1x1	¿Seedling
557	0	1x1x1	Brazier
558	0	1x1x1	Bookcase [Pink]
559	0	1x1x1	Bookcase [Red]
560	560	1x1x1	¿Cloth Rack
561	561	1x2x2	Postbox
562	0	1x3x1	¿Plant
563	0	1x1x1	Bookcase [Green]
564	0	1x1x1	Bookcase [Yellow]
565	0	1x1x1	Bookcase [Blue]
566	0	1x1x1	Chest Of Drawers [White]
567	0	1x1x1	Chest Of Drawers [Black]
568	0	1x1x1	¿Plant
569	0	1x1x1	¿Aubergette
570	0	1x1x1	¿Wheat
571	0	1x1x1	Chest Of Drawers [Purple]
572	572	1x1x1	Seaweed Stack
573	0	1x1x1	Chest Of Drawers [Pink]
574	0	1x1x1	Chest Of Drawers [Red]
575	575	1x1x1	Spleenwort
576	576	1x1x1	Mossy Stones
577	577	1x4x1	Withered Sapling
578	578	1x1x1	Big Withered Tree
579	579	1x1x1	Withered Stump
580	0	1x1x1	Chest Of Drawers [Green]
581	0	1x1x1	Chest Of Drawers [Yellow]
582	582	2x1x1	Residents’ Register
583	583	1x1x1	Withered Tree
584	584	2x4x1	Rocky Column
585	585	1x1x1	Mossy Rock
586	0	1x1x1	Chest Of Drawers [Blue]
587	0	1x1x1	Grandfather Clock [White]
588	0	1x1x1	Grandfather Clock [Black]
589	0	1x1x1	Grandfather Clock [Purple]
590	590	1x1x1	Frying Pan
591	0	1x1x1	Grandfather Clock [Pink]
592	592	1x1x1	Banana Basket
593	0	1x1x1	Grandfather Clock [Red]
594	594	1x1x1	Wooden Fencing
595	595	1x1x1	Enormous Table
596	596	1x1x1	Simple Stool
597	597	1x1x1	Simple Small Table
598	0	1x1x1	¿Pink
599	0	1x1x1	¿pink
600	0	1x1x1	Grandfather Clock [Green]
601	601	1x1x1	Simple Table
602	602	2x1x1	Simple Bench
603	603	1x1x1	Woody Goody
604	604	1x1x1	Stain Extractor
605	605	1x1x1	Jack-o’-Lantern
606	606	2x2x2	¿Kilrn
607	607	1x1x1	Fan Fern
608	608	1x1x1	Gladiolus
609	0	1x1x1	Grandfather Clock [Yellow]
610	0	1x1x1	Grandfather Clock [Blue]
611	0	1x1x1	Clover Carving [White]
612	0	1x1x1	Book of Blue Prints
613	0	1x1x1	Clover Carving [Black]
614	0	1x1x1	Clover Carving [Purple]
615	615	1x1x1	Curtain
616	0	1x1x1	¿Plant
617	0	1x1x1	¿Plant
618	0	1x1x1	¿Plant
619	0	1x1x1	¿Plant
620	0	1x1x1	¿Plant
621	621	1x1x1	Scarecrow
622	622	1x1x1	Broken Track
623	623	1x1x1	Spider Web
624	0	1x1x1	Clover Carving [Pink]
625	0	1x1x1	Vault Bracket
626	626	1x1x1	Community Chest
627	0	1x1x1	0
628	0	1x1x1	Colossal Chest
629	629	2x2x1	Haystack
630	630	1x1x1	Stained-Glass Window Arch
631	631	1x1x1	Stained-Glass Window Midsection
632	632	1x1x1	Stained-Glass Window Sill
633	633	3x1x1	Altar
634	634	1x1x1	Candle
635	635	1x1x1	Pub Sign
636	636	2x1x1	Ornamental Spears
637	0	1x1x1	Clover Carving [Green]
638	638	1x1x1	Rope
639	639	2x1x1	Fancy Bench
640	0	1x1x1	Clover Carving [Yellow]
641	0	1x1x1	Clover Carving [Blue]
642	642	1x1x1	Sliding Door
643	643	1x2x1	Watchfire
644	0	1x1x1	Wooden Fortification [Green]
645	0	1x1x1	Clover Carving [Red]
646	646	1x1x1	Paper Window
647	0	1x2x1	Curtain
648	0	1x1x1	¿seed
649	0	1x1x1	¿seed
650	0	1x1x1	¿seed
651	0	1x1x1	¿seed
652	0	1x1x1	¿Dead Plant
653	0	1x1x1	Sleek Shelf [White]
654	0	1x1x1	Picket Fencing [White]
655	0	1x1x1	Sleek Shelf [Black]
656	0	1x1x1	Sleek Shelf [Purple]
657	0	1x1x1	Sleek Shelf [Pink]
658	0	1x1x1	0
659	0	1x1x1	Wooden Toilet [White]
660	660	1x1x1	Mud-Brick Wall Rubble
661	0	1x1x1	Wooden Toilet [Black]
662	0	1x1x1	Wooden Toilet [Purple]
663	0	1x1x1	Wooden Toilet [Pink]
664	0	1x1x1	Wooden Toilet [Red]
665	0	1x1x1	Wooden Toilet [Green]
666	0	1x1x1	Wooden Toilet [Yellow]
667	0	1x1x1	Wooden Toilet [Blue]
668	0	1x1x1	¿Wheatgrass
669	0	1x1x1	Wheatgrass
670	0	1x1x1	Sleek Shelf [Red]
671	0	1x1x1	Sleek Shelf [Green]
672	0	1x1x1	Sleek Shelf [Yellow]
673	0	1x1x1	Sleek Shelf [Blue]
674	674	1x1x1	Täbel Lâmpe
675	0	1x1x1	Simple Bed [White]
676	0	1x1x1	Simple Bed [Black]
677	0	1x1x1	Simple Bed [Purple]
678	0	1x1x1	Simple Bed [Pink]
679	0	1x1x1	Simple Bed [Red]
680	0	1x1x1	Simple Bed [Green]
681	0	1x1x1	Simple Bed [Yellow]
682	0	1x1x1	Simple Bed [Blue]
683	0	1x1x1	Roof Tiling [White]
684	0	1x1x1	Roof Tiling [Black]
685	0	1x1x1	Roof Tiling [Purple]
686	0	1x1x1	Roof Tiling [Pink]
687	0	1x1x1	Roof Tiling [Red]
688	0	1x1x1	Roof Tiling [Green]
689	0	1x1x1	Roof Tiling [Yellow]
690	0	1x1x1	Roof Tiling [Blue]
691	0	1x1x1	Pitched Tiling [White]
692	0	1x1x1	Pitched Tiling [Black]
693	0	1x1x1	Pitched Tiling [Purple]
694	0	1x1x1	Pitched Tiling [Pink]
695	0	1x1x1	Pitched Tiling [Red]
696	0	1x1x1	Pitched Tiling [Green]
697	0	1x1x1	Pitched Tiling [Yellow]
698	0	1x1x1	Pitched Tiling [Blue]
699	0	1x1x1	Outer Corner Tiling [White]
700	0	1x1x1	Outer Corner Tiling [Black]
701	0	1x1x1	Outer Corner Tiling [Purple]
702	0	1x1x1	Outer Corner Tiling [Pink]
703	0	1x1x1	Outer Corner Tiling [Red]
704	0	1x1x1	Outer Corner Tiling [Green]
705	0	1x1x1	Outer Corner Tiling [Yellow]
