#Id	Can be broken by	Normal Drop	Ultimallet Drop	Description
53	Giant Mallet	Castle Tile x1 {1052}	Castle Tile x1 {1052}	0
54	Giant Mallet	Carved Castle Tile x1 {1053}	Carved Castle Tile x1 {1053}	0
55	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
56	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
57	Ultimallet	Nothing {-1}	Bronze Temple Tile x1 {1056}	0
58	Ultimallet	Nothing {-1}	Blue Temple Tile x1 {1057}	0
59	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
60	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
61	Giant Mallet	Nothing {-1}	Nothing {-1}	Intangible
62	Giant Mallet	Coal x1 {425}	Coal Vein x1 {1061}	0
63	Giant Mallet	Copper x1 {426}	Copper Vein x1 {1162}	0
64	Giant Mallet	Iron x1 {427}	Iron Vein x1 {1063}	0
65	Sledgehammer	Silver x1 {584}	Silver Vein x1 {1064}	0
66	Sledgehammer	Gold x1 {461}	Gold Vein x1 {1065}	0
67	Sledgehammer	Zenithium x1 {577}	Zenithium Vein x1 {1066}	0
68	Sledgehammer	Ruby x1 {578}	Ruby Vein x1 {1067}	0
69	Sledgehammer	Mythril x1 {521}	Mythril Vein x1 {1068}	0
70	Sledgehammer	Orichalcum x1 {507}	Orichalcum Vein x1 {1069}	0
71	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
72	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
73	Giant Mallet	Golemite x1 {1072}	Golemite x1 {1072}	0
74	Giant Mallet	Palm Lumber x1 {1073}	Palm Lumber x1 {1073}	0
75	Giant Mallet	Cedar Lumber x1 {1074}	Cedar Lumber x1 {1074}	0
76	Giant Mallet	Time-Honoured Turf x1 {1075}	Time-Honoured Turf x1 {1075}	0
77	Giant Mallet	8-Bit Brick x1 {1076}	8-Bit Brick x1 {1076}	0
78	Giant Mallet	Olde Worlde Wall x1 {1077}	Olde Worlde Wall x1 {1077}	0
79	Giant Mallet	Eyewall x1 {1078}	Eyewall x1 {1078}	0
80	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
81	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
82	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
83	Giant Mallet	Nothing {-1}	Nothing {-1}	0
84	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
85	Cypress Stick	Strange Sand {1084}	Strange Sand {1084}	0
86	Cypress Stick	Nothing {-1}	Nothing {-1}	0
87	Cypress Stick	Nothing {-1}	Nothing {-1}	0
88	Giant Mallet	Bonestone x1 {1087}	Bonestone x1 {1087}	0
89	Giant Mallet	Nothing {-1}	Nothing {-1}	0
90	Giant Mallet	Slimy Block x1 {1087}	Slimy Block x1 {1087}	0
91	Giant Mallet	Retro Roof x1 {1107}	Retro Roof x1 {1107}	0
92	Giant Mallet	Black Block x1 {1089}	Black Block x1 {1089}	0
93	Giant Mallet	Grey Block x1 {1090}	Grey Block x1 {1090}	0
94	Giant Mallet	White Block x1 {1091}	White Block x1 {1091}	0
95	Giant Mallet	Burgundy Block x1 {1092}	Burgundy Block x1 {1092}	0
96	Giant Mallet	Red Block x1 {1093}	Red Block x1 {1093}	0
97	Giant Mallet	Purple Block x1 {1094}	Purple Block x1 {1094}	0
98	Giant Mallet	Pink Block x1 {1095}	Pink Block x1 {1095}	0
99	Giant Mallet	Green Block x1 {1096}	Green Block x1 {1096}	0
100	Giant Mallet	Lime-Green Block x1 {1097}	Lime-Green Block x1 {1097}	0
101	Giant Mallet	Orange Block x1 {1098}	Orange Block x1 {1098}	0
102	Giant Mallet	Yellow Block x1 {1099}	Yellow Block x1 {1099}	0
103	Giant Mallet	Navy Block x1 {1100}	Navy Block x1 {1100}	0
104	Giant Mallet	Blue Block x1 {1101}	Blue Block x1 {1101}	0
105	Giant Mallet	Beige Block x1 {1102}	Beige Block x1 {1102}	0
106	Giant Mallet	Cyan Block x1 {1103}	Cyan Block x1 {1103}	0
107	Giant Mallet	Silver Block x1 {1104}	Silver Block x1 {1104}	0
108	Giant Mallet	Gold Block x1 {1105}	Gold Block x1 {1105}	0
109	Sledgehammer	Fortress Wall x1 {1110}	0	0
110	Sledgehammer	Fortress Wall x1 {1110}	0	0
111	Sledgehammer	Fortress Wall x1 {1110}	0	0
112	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
113	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
114	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
115	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
116	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
117	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
118	Giant Mallet	Earth x1 {1001}	Crumbly Clodstone x1 {1021}	0
119	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
120	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
121	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
122	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
123	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
124	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
125	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
126	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
127	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
128	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
129	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
130	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
131	Sledgehammer	Dark Dolomite x1 {1749}	Dark Dolomite x1 {1749}	0
132	Giant Mallet	Stony Sand x1 {1751}	Stony Sand x1 {1751}	0
133	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
134	Ultimallet	Nothing {-1}	Masonry Wall x1 {1761}	0
135	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
136	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
137	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
138	Giant Mallet	Bark x1 {1753}	Mossy Bark x1 {1754}	0
139	Giant Mallet	Bark x1 {1753}	Bark x1 {1753}	0
140	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
141	Giant Mallet	Stony Soil {1759}	Stony Soil {1759}	0
142	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
143	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
144	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
145	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
146	Cypress Stick	Seaside Sand x1 {1747}	Seaside Sand x1 {1747}	0
147	Giant Mallet	Arid Earth x1 {1760}	Arid Earth x1 {1760}	0
148	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
149	Sledgehammer	Chert x1 {1770}	Chert x1 {1770}	0
150	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
151	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
152	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
153	Sledgehammer	Chunky Chert x1 {1774}	Chunky Chert x1 {1774}	0
154	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
155	Cypress Stick	Leaves x1 {1123}	Leaves x1 {1123}	0
156	Giant Mallet	Spoiled Soil x1 {1784}	Spoiled Soil x1 {1784}	0
157	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
158	Giant Mallet	Spoiled Soil x1 {1784}	Moss x1 {1786}	0
159	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
160	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
161	Giant Mallet	Humus x1 {1789}	Humus x1 {1789}	0
162	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
163	Indestructible	Nothing {-1}	Nothing {-1}	0
164	Indestructible	Nothing {-1}	Nothing {-1}	0
165	Indestructible	Nothing {-1}	Nothing {-1}	0
166	Indestructible	Nothing {-1}	Nothing {-1}	0
167	Indestructible	Nothing {-1}	Nothing {-1}	0
168	Indestructible	Nothing {-1}	Nothing {-1}	0
169	Indestructible	Nothing {-1}	Nothing {-1}	0
170	Indestructible	Nothing {-1}	Nothing {-1}	0
171	Indestructible	Nothing {-1}	Nothing {-1}	0
172	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
173	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
174	War Hammer	Chert x1 {1770}	Chert x1 {1770}	Is used in the IoA Temple Mountain. The villagers display an empty name when building a blueprint.
175	Cypress Stick	Scallywinkle x1 {1919}	Bubbling Seaside Sand x1 {2037}	0
176	Indestructible	Nothing {-1}	Nothing {-1}	0
177	Indestructible	Nothing {-1}	Nothing {-1}	0
178	Indestructible	Nothing {-1}	Nothing {-1}	0
179	Indestructible	Nothing {-1}	Nothing {-1}	0
180	Indestructible	Nothing {-1}	Nothing {-1}	0
181	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
182	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
183	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
184	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
185	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
186	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
187	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
188	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
189	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
190	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
191	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
192	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
193	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
194	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
195	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
196	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
197	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
198	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
199	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
200	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
201	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
202	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
203	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
204	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
205	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
206	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
207	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
208	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
209	Sledgehammer	Umber x1 {1923}	Umber x1 {1923}	0
210	Sledgehammer	Nothing {-1}	Nothing {-1}	0
211	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
212	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
213	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
214	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
215	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
216	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
217	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
218	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
219	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
220	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
221	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
222	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
223	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
224	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
225	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
226	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
227	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
228	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
229	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
230	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
231	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
232	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
233	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
234	Giant Mallet	Spoiled Soil x1 {1784}	Swampy Soil x1 {1951}	0
235	Giant Mallet	Grass Seed x2 {163}	Seeded Spoiled Soil x1 {1953}	0
236	Giant Mallet	Tomato Seed x2 {1831}	Tomato Seed x2 {1831}	0
237	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
238	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
239	Giant Mallet	Sugar Cane Seedling x2 {1825}	Sugar Cane Seedling x2 {1825}	0
240	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
241	Sledgehammer	Lumpy Umber x1 {2031}	Lumpy Umber x1 {2031}	0
242	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
243	Giant Mallet	Softwood x1 {1987}	Softwood x1 {1987}	0
244	Giant Mallet	Floorboard x1 {1988}	Floorboard x1 {1988}	0
245	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
246	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
247	Cypress Stick	Nothing {-1}	Nothing {-1}	Transparent
248	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
240	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
250	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
251	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
252	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
253	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
254	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
255	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
256	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
257	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
258	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
259	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
260	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
261	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
262	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
263	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
264	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
265	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
266	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
267	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
268	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
269	Giant Mallet	Fancy Carpet {White} x1 {2157}	Fancy Carpet {White} x1 {2157}	0
270	Giant Mallet	Fancy Carpet {Black} x1 {2158}	Fancy Carpet {Black} x1 {2158}	0
271	Giant Mallet	Fancy Carpet {Purple} x1 {2159}	Fancy Carpet {Purple} x1 {2159}	0
272	Giant Mallet	Fancy Carpet {Pink} x1 {2160}	Fancy Carpet {Pink} x1 {2160}	0
273	Giant Mallet	Fancy Carpet {Green} x1 {2162}	Fancy Carpet {Green} x1 {2162}	0
274	Giant Mallet	Fancy Carpet {Yellow} x1 {2163}	Fancy Carpet {Yellow} x1 {2163}	0
275	Giant Mallet	Fancy Carpet {Blue} x1 {2164}	Fancy Carpet {Blue} x1 {2164}	0
276	Giant Mallet	Fancy Carpet {Red} x1 {2161}	Fancy Carpet {Red} x1 {2161}	0
277	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Foundation {White} x1 {2857}	0
278	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Foundation {Black} x1 {2858}	0
279	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Foundation {Purple} x1 {2859}	0
280	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Foundation {Pink} x1 {2860}	0
281	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Foundation {Red} x1 {2861}	0
282	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Foundation {Green} x1 {2862}	0
283	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Foundation {Yellow} x1 {2863}	0
284	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Foundation {Blue} x1 {2864}	0
285	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Wall Midsection {White} x1 {2865}	0
286	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Wall Midsection {Black} x1 {2866}	0
287	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Wall Midsection {Purple} x1 {2867}	0
288	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Wall Midsection {Pink} x1 {2868}	0
289	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Wall Midsection {Red} x1 {2869}	0
290	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Wall Midsection {Green} x1 {2870}	0
291	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Wall Midsection {Yellow} x1 {2871}	0
292	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Wall Midsection {Blue} x1 {2872}	0
293	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Capital {White} x1 {2873}	0
294	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Capital {Black} x1 {2874}	0
295	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Capital {Purple} x1 {2875}	0
296	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Capital {Pink} x1 {2876}	0
297	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Capital {Red} x1 {2877}	0
298	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Capital {Green} x1 {2878}	0
299	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Capital {Yellow} x1 {2879}	0
300	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Capital {Blue} x1 {2880}	0
301	Giant Mallet	Wooden Wall {White} x1 {2881}	Wooden Wall {White} x1 {2881}	0
302	Giant Mallet	Wooden Wall {Black} x1 {2882}	Wooden Wall {Black} x1 {2882}	0
303	Giant Mallet	Wooden Wall {Purple} x1 {2883}	Wooden Wall {Purple} x1 {2883}	0
304	Giant Mallet	Wooden Wall {Pink} x1 {2884}	Wooden Wall {Pink} x1 {2884}	0
305	Giant Mallet	Wooden Wall {Red} x1 {2885}	Wooden Wall {Red} x1 {2885}	0
306	Giant Mallet	Wooden Wall {Green} x1 {2886}	Wooden Wall {Green} x1 {2886}	0
307	Giant Mallet	Wooden Wall {Yellow} x1 {2887}	Wooden Wall {Yellow} x1 {2887}	0
308	Giant Mallet	Wooden Wall {Blue} x1 {2888}	Wooden Wall {Blue} x1 {2888}	0
309	Giant Mallet	Carpet {White} x1 {2625}	Carpet {White} x1 {2625}	0
310	Giant Mallet	Carpet {Black} x1 {2626}	Carpet {Black} x1 {2626}	0
311	Giant Mallet	Carpet {Purple} x1 {2627}	Carpet {Purple} x1 {2627}	0
312	Giant Mallet	Carpet {Pink} x1 {2628}	Carpet {Pink} x1 {2628}	0
313	Giant Mallet	Carpet {Red} x1 {2629}	Carpet {Red} x1 {2629}	0
314	Giant Mallet	Carpet {Green} x1 {2630}	Carpet {Green} x1 {2630}	0
315	Giant Mallet	Carpet {Yellow} x1 {2631}	Carpet {Yellow} x1 {2631}	0
316	Giant Mallet	Carpet {Blue} x1 {2632}	Carpet {Blue} x1 {2632}	0
317	Giant Mallet	Wooden Floor {White} x1 {2889}	Wooden Floor {White} x1 {2889}	0
318	Giant Mallet	Wooden Floor {Black} x1 {2890}	Wooden Floor {Black} x1 {2890}	0
319	Giant Mallet	Wooden Floor {Purple} x1 {2891}	Wooden Floor {Purple} x1 {2891}	0
320	Giant Mallet	Wooden Floor {Pink} x1 {2892}	Wooden Floor {Pink} x1 {2892}	0
321	Giant Mallet	Wooden Floor {Red} x1 {2893}	Wooden Floor {Red} x1 {2893}	0
322	Giant Mallet	Wooden Floor {Green} x1 {2894}	Wooden Floor {Green} x1 {2894}	0
323	Giant Mallet	Wooden Floor {Yellow} x1 {2895}	Wooden Floor {Yellow} x1 {2895}	0
324	Giant Mallet	Wooden Floor {Blue} x1 {2896}	Wooden Floor {Blue} x1 {2896}	0
325	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
326	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
327	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
328	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
329	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
330	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
331	Cypress Stick	Nothing {-1}	Shifting Sand x1 {265}	0
332	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
333	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
334	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
335	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
336	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
337	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
338	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
339	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
340	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
341	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
